Carimbo de data/hora,Você concorda em participar desta pesquisa e autoriza o uso das suas respostas de forma anônima exclusivamente para fins acadêmicos?  ,Qual é a sua faixa etária?,Como você se identifica em relação ao gênero? ,Em que período do curso você está? ,Qual é o seu curso?,Você pratica alguma atividade física regularmente?,Quantas atividades físicas diferentes você pratica regularmente? ,Qual o tipo principal de atividade física que você pratica?,Quantos dias por semana você pratica atividade física?,"Em média, quantas horas por semana você dedica à atividade física? ","Quanto tempo você leva, em média, para se deslocar até o local de prática (em minutos)?  ",Qual é o principal motivo para você praticar atividade física?  ,"Caso não pratique atividade física, qual o principal motivo?"
12/05/2026 14:40:36,"Sim, concordo em participar",27 anos ou mais,Mulher,8º ou mais,Química,Não,,,,,,,Motivos de saúde
15/05/2026 15:04:59,"Sim, concordo em participar",24-26 anos,Mulher,7º,Biotecnologia ,Sim,2,Corrida/Caminhada,5,1-2 horas,Faço em casa ,"Saúde, Estética",
15/05/2026 15:20:37,"Sim, concordo em participar",24-26 anos,Homem,8º ou mais,Engenharia Civil,Sim,3,"Musculação, Corrida/Caminhada, Esporte Coletivos(futebol, Voleibol, basquete, etc.)",5,7-8 horas,10,"Saúde, Estética, Lazer, Desempenho Esportivo",
15/05/2026 15:25:55,"Sim, concordo em participar",24-26 anos,Homem,1º,Engenharia de controle e automação ,Sim,1,"Esporte Coletivos(futebol, Voleibol, basquete, etc.)",1,1-2 horas,20 minutos ,Lazer,
15/05/2026 19:51:57,"Sim, concordo em participar",27 anos ou mais,Mulher,8º ou mais,Física,Sim,1,Musculação,5,9 horas ou mais,20,"Saúde, Estética",
15/05/2026 20:13:54,"Sim, concordo em participar",21-23 anos,Mulher,8º ou mais,Fisica licenciatura ,Não,,,,,,,Falta de acesso
15/05/2026 20:22:50,"Sim, concordo em participar",21-23 anos,Travesti,7º,Licenciatura em Fìsica,Não,,,,,,,Falta de tempo
15/05/2026 20:23:42,"Sim, concordo em participar",27 anos ou mais,Mulher,8º ou mais,Física ,Sim,1,Musculação,3,1-2 horas,No máximo 30min,"Saúde, Estética, Desempenho Esportivo, Redução de estresse",
15/05/2026 20:24:30,"Sim, concordo em participar",21-23 anos,Mulher,8º ou mais,fln,Não,,,,,,,Falta de acesso
15/05/2026 20:43:57,"Sim, concordo em participar",21-23 anos,Mulher,7º,Fisica ,Sim,2,Natação ,2,Menos de 1 hora,10 min,Lazer,Falta de tempo
15/05/2026 23:07:09,"Sim, concordo em participar",24-26 anos,Mulher,8º ou mais,Administração,Não,,,,,,,Falta de tempo
15/05/2026 23:07:12,"Sim, concordo em participar",24-26 anos,Mulher,8º ou mais,Administração,Não,,,,,,,Falta de tempo
16/05/2026 01:31:00,"Sim, concordo em participar",21-23 anos,Homem,5º,Licenciatura em História pelo IFSULDEMINAS - Campus Inconfidentes,Sim,1,Musculação,3,1-2 horas,"Apé, 10 min, de Bike, 3 min","Saúde, Lazer, Redução de estresse",
16/05/2026 07:07:32,"Sim, concordo em participar",21-23 anos,Mulher,4º,Enfi ,Sim,1,Musculação,1,Menos de 1 hora,10 min,"Saúde, Estética",Falta de tempo
16/05/2026 10:43:40,"Sim, concordo em participar",18-20 anos,Mulher,3º,terapia ocupacional ,Sim,1,"Esporte Coletivos(futebol, Voleibol, basquete, etc.)",1,1-2 horas,10 minutos ,"Saúde, Lazer, Redução de estresse",
16/05/2026 10:44:14,"Sim, concordo em participar",27 anos ou mais,Mulher,8º ou mais,Gestão e análise ambiental ,Não,,,,,,,Falta de interesse
16/05/2026 10:44:50,"Sim, concordo em participar",18-20 anos,Mulher,1º,Educação especial ,Sim,1,"Esporte Coletivos(futebol, Voleibol, basquete, etc.)",1,1-2 horas,5,Saúde,
16/05/2026 10:44:59,"Sim, concordo em participar",24-26 anos,Mulher,8º ou mais,Psicologia ,Sim,2,"Corrida/Caminhada, Esporte Coletivos(futebol, Voleibol, basquete, etc.)",2,5-6 horas,15min,"Saúde, Lazer, Redução de estresse",
16/05/2026 10:50:15,"Sim, concordo em participar",21-23 anos,Homem,8º ou mais,Psicologia,Sim,2,"Musculação, Esporte Coletivos(futebol, Voleibol, basquete, etc.)",4,7-8 horas,20,"Saúde, Estética, Lazer, Desempenho Esportivo, Redução de estresse",
16/05/2026 10:55:08,"Sim, concordo em participar",27 anos ou mais,Homem,5º,Pedagogia ,Sim,4 ou mais,Musculação,5,1-2 horas,20 a 30 minutos ,Saúde,
16/05/2026 10:58:34,"Sim, concordo em participar",27 anos ou mais,Mulher,1º,Gestão e Análise Ambiental ,Não,,,,,,,Motivos de saúde
16/05/2026 10:58:36,"Sim, concordo em participar",24-26 anos,Homem,8º ou mais,Música ,Sim,1,"Esporte Coletivos(futebol, Voleibol, basquete, etc.), Dança",2,1-2 horas,6min,"Saúde, Lazer, Desempenho Esportivo, ",
16/05/2026 10:59:46,"Sim, concordo em participar",27 anos ou mais,Homem,8º ou mais,Pedagogia ,Não,,,,,,,Falta de tempo
16/05/2026 10:59:50,"Sim, concordo em participar",27 anos ou mais,Mulher,8º ou mais,Pedagogia ,Não,,,,,,,Falta de tempo e trabalho 
16/05/2026 11:00:39,"Sim, concordo em participar",18-20 anos,Mulher,1º,Licenciatura emMatemática ,Sim,1,"Esporte Coletivos(futebol, Voleibol, basquete, etc.)",1,1-2 horas,30 minutos ,Redução de estresse,
16/05/2026 11:03:50,"Sim, concordo em participar",18-20 anos,Mulher,1º,Biologia,Não,,,,,,,Falta de interesse
16/05/2026 11:05:14,"Sim, concordo em participar",18-20 anos,Mulher,1º,Ciências sociais ,Sim,1,"Esporte Coletivos(futebol, Voleibol, basquete, etc.)",1,Menos de 1 hora,2 minutos ,Saúde,
16/05/2026 11:06:05,"Sim, concordo em participar",24-26 anos,Mulher,8º ou mais,Psicologia,Não,,,,,,,Falta de interesse
16/05/2026 11:06:16,"Sim, concordo em participar",21-23 anos,Mulher,3º,Gestão e análise ambiental ,Não,,,,,,,Falta de interesse
